;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:02:54;6,04;449,6;1,1;152;206,6;25,0
;;;00:02:55;6,08;449,6;1,1;137;207,1;24,5
;;;00:02:55;6,10;449,6;1,1;270;207,6;23,9
;;;00:02:56;6,12;449,6;1,1;185;213,0;24,0
;;;00:02:56;6,14;449,6;1,1;311;217,4;24,0
;;;00:02:57;6,18;449,6;1,1;287;216,2;24,2
;;;00:02:57;6,20;449,6;1,1;260;210,9;25,0
;;;00:02:58;6,22;449,6;1,1;238;211,8;24,8
;;;00:02:59;6,26;449,6;1,1;162;216,3;23,9
;;;00:02:59;6,28;449,6;1,1;217;212,9;24,6
;;;00:03:00;6,31;449,6;1,1;207;210,9;25,0
;;;00:03:00;6,34;449,6;1,1;249;210,2;25,0
;;;00:03:01;6,36;449,6;1,1;213;209,8;25,0
;;;00:03:01;6,38;449,6;1,1;182;211,8;24,9
;;;00:03:02;6,40;449,6;1,1;170;213,0;24,9
;;;00:03:02;6,42;449,6;1,1;170;208,0;24,9
;;;00:03:03;6,45;449,6;1,1;180;205,5;24,9
;;;00:03:03;6,47;449,6;1,1;170;213,0;24,4
;;;00:03:04;6,49;449,6;1,1;176;220,6;24,0
;;;00:03:04;6,51;449,6;1,1;176;217,4;23,9
;;;00:03:05;6,53;449,6;1,1;176;214,1;23,9
;;;00:03:05;6,55;449,6;1,1;157;214,8;23,8
;;;00:03:06;6,57;449,6;1,1;174;215,2;23,8
;;;00:03:06;6,59;449,6;1,1;249;220,2;23,2
;;;00:03:07;6,61;449,6;1,1;149;222,8;23,0
;;;00:03:07;6,64;449,6;1,1;232;217,7;23,6
;;;00:03:08;6,66;449,6;1,1;177;215,2;23,9
;;;00:03:08;6,68;449,6;1,1;178;215,2;23,9
;;;00:03:09;6,71;449,6;1,1;180;215,2;23,9
;;;00:03:09;6,73;449,6;1,1;124;215,2;23,9
;;;00:03:10;6,75;449,6;1,1;151;214,1;24,3
;;;00:03:11;6,77;449,6;1,1;146;212,0;25,0
;;;00:03:11;6,79;449,6;1,1;136;213,7;25,0
;;;00:03:12;6,81;449,6;1,1;151;214,4;24,9
;;;00:03:12;6,83;449,6;1,1;152;216,3;23,9
;;;00:03:13;6,85;449,6;1,1;182;216,7;23,9
;;;00:03:14;6,87;449,6;1,1;187;219,5;24,0
;;;00:03:14;6,90;449,6;1,1;187;218,4;23,5
;;;00:03:15;6,92;449,6;1,1;133;217,4;23,0
;;;00:03:15;6,94;449,6;1,1;146;209,8;24,4
;;;00:03:16;6,96;449,6;1,1;141;207,0;25,0
;;;00:03:16;6,98;449,6;1,1;146;210,9;24,9
;;;00:03:17;7,00;449,6;1,1;170;211,3;24,6
;;;00:03:17;7,02;449,6;1,1;164;212,0;24,0
;;;00:03:18;7,04;449,6;1,1;176;211,6;23,9
;;;00:03:19;7,07;449,6;1,1;164;210,9;23,9
;;;00:03:19;7,09;449,6;1,1;170;209,3;24,3
;;;00:03:20;7,11;449,6;1,1;249;206,6;25,0
;;;00:03:20;7,14;449,6;1,1;203;204,4;25,0
;;;00:03:21;7,16;449,6;1,1;168;202,2;25,0
;;;00:03:21;7,18;449,6;1,1;170;204,4;25,5
;;;00:03:22;7,20;449,6;1,1;172;206,6;25,9
;;;00:03:22;7,23;449,6;1,1;201;203,2;26,0
;;;00:03:23;7,25;449,6;1,1;201;201,2;26,0
;;;00:03:23;7,27;449,6;1,1;188;204,2;25,4
;;;00:03:23;7,29;449,6;1,1;219;206,6;24,9
;;;00:03:24;7,31;449,6;1,1;260;206,6;24,9
;;;00:03:24;7,34;449,6;1,1;257;205,5;25,0
;;;00:03:25;7,36;449,6;1,1;211;205,5;25,0
;;;00:03:25;7,38;449,6;1,1;276;205,5;25,0
;;;00:03:25;7,40;449,6;1,1;253;205,5;25,0
;;;00:03:26;7,43;449,6;1,1;243;205,5;25,0
;;;00:03:26;7,45;449,6;1,1;292;204,4;25,0
;;;00:03:27;7,48;449,6;1,1;284;204,4;25,0
;;;00:03:27;7,50;449,6;1,1;272;204,4;25,0
;;;00:03:27;7,53;449,6;1,1;311;204,4;24,9
;;;00:03:28;7,56;449,6;1,1;292;204,4;24,9
;;;00:03:28;7,59;449,6;1,1;303;204,4;24,9
;;;00:03:28;7,61;449,6;1,1;246;204,4;25,0
;;;00:03:29;7,63;449,6;1,1;309;204,4;25,0
;;;00:03:29;7,65;449,6;1,1;272;200,1;25,0
;;;00:03:29;7,68;449,6;1,1;316;199,0;25,0
;;;00:03:30;7,70;449,6;1,1;272;199,0;25,0
;;;00:03:30;7,72;449,6;1,1;259;199,0;25,8
;;;00:03:30;7,74;449,6;1,1;311;199,0;25,9
;;;00:03:31;7,76;449,6;1,1;272;199,0;25,9
;;;00:03:31;7,79;449,6;1,1;272;193,6;25,0
;;;00:03:31;7,81;449,6;1,1;341;193,6;25,0
;;;00:03:32;7,83;449,6;1,1;272;193,6;25,0
;;;00:03:32;7,85;449,6;1,1;311;193,6;25,5
;;;00:03:32;7,87;449,6;1,1;272;193,6;25,9
;;;00:03:33;7,89;449,6;1,1;272;193,6;25,9
;;;00:03:33;7,92;449,6;1,1;438;193,3;25,7
;;;00:03:33;7,94;449,6;1,1;331;192,5;24,9
;;;00:03:34;7,96;449,6;1,1;232;192,5;24,9
;;;00:03:34;7,99;449,6;1,1;438;191,4;25,4
;;;00:03:34;8,02;449,6;1,1;281;190,4;26,0
;;;00:03:35;8,04;449,6;1,1;353;190,4;26,0
;;;00:03:35;8,06;449,6;1,1;272;191,2;26,0
;;;00:03:35;8,08;449,6;1,1;311;192,5;25,9
;;;00:03:36;8,10;449,6;1,1;321;192,5;25,9
;;;00:03:36;8,12;449,6;1,1;272;191,7;26,0
;;;00:03:36;8,15;449,6;1,1;282;188,2;26,0
;;;00:03:36;8,17;449,6;1,1;389;188,2;26,0
;;;00:03:37;8,19;449,6;1,1;360;188,2;26,0
;;;00:03:37;8,21;449,6;1,1;272;189,3;26,0
;;;00:03:37;8,24;449,6;1,1;330;189,3;26,0
;;;00:03:38;8,26;449,6;1,1;301;189,3;26,0
;;;00:03:38;8,28;449,6;1,1;365;187,7;25,9
;;;00:03:38;8,31;449,6;1,1;338;187,1;25,9
;;;00:03:39;8,33;449,6;1,1;292;187,1;25,9
;;;00:03:39;8,36;449,6;1,1;301;187,6;25,9
;;;00:03:39;8,38;449,6;1,1;353;188,2;25,9
;;;00:03:40;8,40;449,6;1,1;321;188,2;25,9
;;;00:03:40;8,43;449,6;1,1;350;187,8;25,9
;;;00:03:40;8,45;449,6;1,1;292;186,0;26,0
;;;00:03:40;8,47;449,6;1,1;341;186,0;26,0
;;;00:03:41;8,49;449,6;1,1;373;186,0;26,0
