Synthèse;;;;;;;;;;;
ID;Chantier;Contrat;Nom / numéro pieu;Diamètre;Date début;Fin pieu;Durée totale;Longueur pieu;Volume béton;Surconsommation;Coups
;;;; mm;;;; m; m3; %;
243;GOLDEN GLOVER;60159;P50;460;19.02.2021 14:30;19.02.2021 14:56;00:26:27;26.04;5.184;18;144
244;GOLDEN GLOVER;60159;P136;460;19.02.2021 13:38;19.02.2021 14:30;00:51:07;26.02;5.148;17;143
245;GOLDEN GLOVER;60159;P139;460;19.02.2021 11:59;19.02.2021 13:28;01:29:07;26.04;5.076;16;141
246;GOLDEN GLOVER;60159;P53;460;19.02.2021 11:10;19.02.2021 11:58;00:47:52;26.03;4.932;12;137
247;GOLDEN GLOVER;60159;P142;460;19.02.2021 10:44;19.02.2021 11:03;00:18:06;26.04;4.824;10;134
248;GOLDEN GLOVER;60159;P56;460;19.02.2021 10:18;19.02.2021 10:44;00:26:05;26.03;4.788;11;133
249;GOLDEN GLOVER;60159;P145;460;19.02.2021 09:54;19.02.2021 10:13;00:18:59;26.03;4.788;11;133
250;GOLDEN GLOVER;60159;P59;460;19.02.2021 09:31;19.02.2021 09:54;00:23:23;26.18;4.86;13;135
251;GOLDEN GLOVER;60159;P91-1;460;19.02.2021 09:08;19.02.2021 09:30;00:22:21;26.03;4.86;11;135
252;GOLDEN GLOVER;60159;P91;460;19.02.2021 08:45;19.02.2021 09:08;00:23:14;26.01;1.62;-67;45
253;GOLDEN GLOVER;60159;TEST;460;18.02.2021 18:04;18.02.2021 18:09;00:05:35;10.08;1.404;-17;39
254;GOLDEN GLOVER;60159;TEST;460;18.02.2021 17:49;18.02.2021 18:03;00:13:58;10.17;2.808;65;78
255;GOLDEN GLOVER;60159;TEST;460;18.02.2021 17:46;18.02.2021 17:47;00:00:50;0;0;-100;0
256;GOLDEN GLOVER;60159;P212;460;18.02.2021 16:20;18.02.2021 16:37;00:16:56;26.03;5.076;17;141
257;GOLDEN GLOVER;60159;P214.1;460;18.02.2021 15:52;18.02.2021 16:08;00:15:39;26.02;5.04;17;140
258;GOLDEN GLOVER;60159;P214;460;18.02.2021 15:01;18.02.2021 15:52;00:50:34;26.02;1.476;-69;41
259;GOLDEN GLOVER;60159;P216;460;18.02.2021 14:30;18.02.2021 14:59;00:29:02;26.03;5.148;19;143
260;GOLDEN GLOVER;60159;P199;460;18.02.2021 13:53;18.02.2021 14:29;00:35:27;26.09;5.04;15;140
261;GOLDEN GLOVER;60159;P147;460;18.02.2021 13:28;18.02.2021 13:51;00:22:48;26.03;4.86;11;135
262;GOLDEN GLOVER;60159;P8;460;18.02.2021 11:23;18.02.2021 12:02;00:38:14;26.04;4.752;9;132
263;GOLDEN GLOVER;60159;P10;460;18.02.2021 10:39;18.02.2021 11:15;00:35:09;26.03;4.86;12;135
264;GOLDEN GLOVER;60159;P86;460;18.02.2021 10:06;18.02.2021 10:35;00:28:18;26;5.04;15;140
265;GOLDEN GLOVER;60159;P117;460;18.02.2021 09:40;18.02.2021 10:04;00:23:46;26.03;4.86;11;135
266;GOLDEN GLOVER;60159;P61;460;18.02.2021 09:17;18.02.2021 09:39;00:21:42;26.03;4.86;11;135
267;GOLDEN GLOVER;60159;P93;460;18.02.2021 08:35;18.02.2021 09:16;00:41:04;26.03;5.148;18;143
268;GOLDEN GLOVER;60159;P36.1;460;17.02.2021 17:05;17.02.2021 17:36;00:30:55;26.01;6.696;20;186
269;GOLDEN GLOVER;60159;P32;460;17.02.2021 16:02;17.02.2021 16:19;00:16:38;26.04;4.824;12;134
