;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:01:15;5,38;100,4;1,0;311;108,0;20,0
;;;00:01:15;5,41;100,4;1,0;321;108,0;20,0
;;;00:01:15;5,43;100,4;1,0;272;108,0;20,0
;;;00:01:15;5,45;100,4;1,0;353;107,2;20,0
;;;00:01:16;5,47;100,4;1,0;350;106,9;20,0
;;;00:01:16;5,50;100,4;1,0;324;106,9;20,0
;;;00:01:16;5,52;100,4;1,0;234;107,6;20,0
;;;00:01:17;5,55;100,4;1,0;308;108,0;19,9
;;;00:01:17;5,57;100,4;1,0;341;108,0;19,9
;;;00:01:17;5,59;100,4;1,0;292;107,8;20,1
;;;00:01:18;5,61;100,4;1,0;370;106,9;20,9
;;;00:01:18;5,63;100,4;1,0;272;106,9;20,9
;;;00:01:18;5,65;100,4;1,0;341;106,9;20,9
;;;00:01:19;5,67;100,4;1,0;272;106,9;21,0
;;;00:01:19;5,70;100,4;1,0;360;106,9;21,0
;;;00:01:19;5,72;100,4;1,0;272;106,9;21,0
;;;00:01:19;5,74;100,4;1,0;302;106,9;21,0
;;;00:01:20;5,76;100,4;1,0;341;106,9;21,0
;;;00:01:20;5,79;100,4;1,0;272;106,9;21,0
;;;00:01:20;5,81;100,4;1,0;321;106,9;21,0
;;;00:01:21;5,83;100,4;1,0;321;106,9;21,0
;;;00:01:21;5,85;100,4;1,0;272;106,9;21,0
;;;00:01:21;5,87;100,4;1,0;362;106,9;21,0
;;;00:01:22;5,90;100,4;1,0;302;106,9;20,9
;;;00:01:22;5,92;100,4;1,0;311;106,9;20,9
;;;00:01:22;5,95;100,4;1,0;321;106,9;20,9
;;;00:01:23;5,97;100,4;1,0;315;106,9;20,9
;;;00:01:23;6,00;100,4;1,0;276;106,9;20,9
;;;00:01:23;6,02;100,4;1,0;331;106,9;20,9
;;;00:01:24;6,04;100,4;1,0;220;106,9;20,0
;;;00:01:24;6,06;100,4;1,0;259;106,9;20,0
;;;00:01:24;6,09;100,4;1,0;311;106,9;20,0
;;;00:01:24;6,11;100,4;1,0;331;106,1;20,0
;;;00:01:25;6,13;100,4;1,0;321;105,8;20,0
;;;00:01:25;6,15;100,4;1,0;338;105,8;20,0
;;;00:01:25;6,17;100,4;1,0;272;105,8;20,0
;;;00:01:26;6,20;100,4;1,0;319;105,8;20,0
;;;00:01:26;6,22;100,4;1,0;292;105,8;20,0
;;;00:01:26;6,24;100,4;1,0;282;105,8;20,0
;;;00:01:27;6,26;100,4;1,0;389;105,8;20,0
;;;00:01:27;6,28;100,4;1,0;272;105,8;20,0
;;;00:01:27;6,30;100,4;1,0;272;105,8;20,0
;;;00:01:28;6,34;100,4;1,0;399;104,8;20,9
;;;00:01:28;6,36;100,4;1,0;305;104,8;20,9
;;;00:01:28;6,39;100,4;1,0;268;104,8;20,9
;;;00:01:29;6,41;100,4;1,0;253;105,8;21,0
;;;00:01:29;6,43;100,4;1,0;311;105,8;21,0
;;;00:01:29;6,45;100,4;1,0;302;105,8;21,0
;;;00:01:30;6,48;100,4;1,0;270;104,9;20,1
;;;00:01:30;6,50;100,4;1,0;334;104,8;20,0
;;;00:01:30;6,53;100,4;1,0;272;104,8;20,0
;;;00:01:31;6,55;100,4;1,0;340;104,8;20,0
;;;00:01:31;6,57;100,4;1,0;310;104,8;20,0
;;;00:01:31;6,59;100,4;1,0;329;104,8;20,0
;;;00:01:31;6,62;100,4;1,0;292;104,8;20,5
;;;00:01:32;6,64;100,4;1,0;272;104,8;20,9
;;;00:01:32;6,66;100,4;1,0;339;104,8;20,9
;;;00:01:32;6,68;100,4;1,0;300;104,8;20,9
;;;00:01:33;6,70;100,4;1,0;331;104,8;21,0
;;;00:01:33;6,73;100,4;1,0;292;104,8;21,0
;;;00:01:33;6,75;100,4;1,0;272;104,5;21,0
;;;00:01:34;6,77;100,4;1,0;341;103,7;20,9
;;;00:01:34;6,79;100,4;1,0;360;103,7;20,9
;;;00:01:34;6,81;100,4;1,0;272;103,7;20,9
;;;00:01:35;6,84;100,4;1,0;331;104,5;20,9
;;;00:01:35;6,86;100,4;1,0;341;104,8;21,0
;;;00:01:35;6,88;100,4;1,0;272;104,8;21,0
;;;00:01:35;6,90;100,4;1,0;360;104,3;20,6
;;;00:01:36;6,93;100,4;1,0;321;103,7;20,0
;;;00:01:36;6,95;100,4;1,0;314;103,7;20,0
;;;00:01:36;6,98;100,4;1,0;303;104,0;20,0
;;;00:01:37;7,00;100,4;1,0;234;104,8;19,9
;;;00:01:37;7,02;100,4;1,0;350;104,8;19,9
;;;00:01:37;7,04;100,4;1,0;292;104,8;19,9
;;;00:01:38;7,07;100,4;1,0;389;104,8;19,9
;;;00:01:38;7,09;100,4;1,0;272;104,8;19,9
;;;00:01:38;7,11;100,4;1,0;350;104,8;19,9
;;;00:01:39;7,13;100,4;1,0;234;104,8;19,9
;;;00:01:39;7,15;100,4;1,0;292;104,8;19,9
;;;00:01:39;7,18;100,4;1,0;389;104,8;19,9
;;;00:01:39;7,20;100,4;1,0;292;104,3;19,9
;;;00:01:40;7,22;100,4;1,0;341;103,7;19,9
;;;00:01:40;7,24;100,4;1,0;282;103,7;19,9
;;;00:01:40;7,27;100,4;1,0;311;103,9;20,1
;;;00:01:41;7,29;100,4;1,0;341;104,8;21,0
;;;00:01:41;7,31;100,4;1,0;282;104,8;21,0
;;;00:01:41;7,33;100,4;1,0;321;104,8;21,0
;;;00:01:42;7,35;100,4;1,0;311;104,8;20,1
;;;00:01:42;7,38;100,4;1,0;378;104,8;19,9
;;;00:01:42;7,40;100,4;1,0;272;104,8;19,9
;;;00:01:42;7,42;100,4;1,0;389;104,8;19,9
;;;00:01:43;7,44;100,4;1,0;282;104,8;19,9
;;;00:01:43;7,47;100,4;1,0;370;104,8;19,9
;;;00:01:43;7,49;100,4;1,0;389;104,8;19,9
;;;00:01:44;7,51;100,4;1,0;285;104,8;21,0
;;;00:01:44;7,53;100,4;1,0;316;104,8;21,0
;;;00:01:44;7,55;100,4;1,0;272;104,8;21,0
;;;00:01:45;7,58;100,4;1,0;253;104,8;20,9
;;;00:01:45;7,60;100,4;1,0;221;104,8;20,9
;;;00:01:45;7,62;100,4;1,0;302;104,8;20,9
;;;00:01:45;7,64;100,4;1,0;365;104,2;20,4
;;;00:01:46;7,67;100,4;1,0;302;103,7;19,9
;;;00:01:46;7,69;100,4;1,0;272;103,7;19,9
;;;00:01:46;7,71;100,4;1,0;331;103,9;20,1
;;;00:01:47;7,73;100,4;1,0;292;104,8;21,0
;;;00:01:47;7,76;100,4;1,0;302;104,8;21,0
;;;00:01:47;7,78;100,4;1,0;341;104,8;21,0
;;;00:01:48;7,81;100,4;1,0;389;104,8;21,0
;;;00:01:48;7,83;100,4;1,0;260;104,8;21,0
;;;00:01:48;7,85;100,4;1,0;478;104,8;21,0
;;;00:01:49;7,87;100,4;1,0;266;103,7;20,9
;;;00:01:49;7,91;100,4;1,0;337;103,7;20,9
;;;00:01:49;7,93;100,4;1,0;272;103,7;20,9
;;;00:01:50;7,95;100,4;1,0;414;104,5;20,8
;;;00:01:50;7,98;100,4;1,0;190;104,8;20,8
;;;00:01:50;8,00;100,4;1,0;334;104,8;20,8
;;;00:01:51;8,03;100,4;1,0;282;104,8;20,9
;;;00:01:51;8,05;100,4;1,0;353;104,8;20,9
;;;00:01:51;8,07;100,4;1,0;311;104,8;20,9
;;;00:01:52;8,09;100,4;1,0;321;104,8;20,5
;;;00:01:52;8,11;100,4;1,0;282;104,8;19,9
;;;00:01:52;8,14;100,4;1,0;401;104,8;19,9
;;;00:01:52;8,16;100,4;1,0;272;104,8;19,9
;;;00:01:53;8,18;100,4;1,0;302;104,8;20,0
;;;00:01:53;8,20;100,4;1,0;331;104,8;20,0
;;;00:01:53;8,23;100,4;1,0;292;104,8;20,0
;;;00:01:54;8,25;100,4;1,0;272;105,8;20,0
;;;00:01:54;8,27;100,4;1,0;377;105,8;20,0
;;;00:01:54;8,29;100,4;1,0;331;105,8;20,0
;;;00:01:55;8,32;100,4;1,0;311;105,8;19,9
;;;00:01:55;8,34;100,4;1,0;454;105,8;19,8
;;;00:01:55;8,36;100,4;1,0;270;105,8;19,8
;;;00:01:55;8,38;100,4;1,0;311;105,8;20,3
;;;00:01:56;8,41;100,4;1,0;399;105,8;21,0
;;;00:01:56;8,44;100,4;1,0;318;105,8;21,0
;;;00:01:56;8,46;100,4;1,0;227;106,1;20,8
;;;00:01:57;8,48;100,4;1,0;470;106,9;19,9
;;;00:01:57;8,50;100,4;1,0;389;106,9;19,9
;;;00:01:57;8,53;100,4;1,0;331;106,9;19,9
;;;00:01:58;8,55;100,4;1,0;272;106,1;20,7
;;;00:01:58;8,57;100,4;1,0;331;105,8;20,9
;;;00:01:58;8,60;100,4;1,0;281;105,8;20,9
;;;00:01:59;8,62;100,4;1,0;272;105,8;19,9
